location_id,postal_code,province,state,city,address1,address2,address3,address4,country,county
50002,13278,Oregon,OR,Portland,4507 Maple St!,Suite 143,Block 2,,US,Multnomah
50003,3184ab,Tamil Nadu,TN,Chennai,8929 Park Ave?,Suite 460,,Near City Mall,IN,Chennai
50004,E5P 9L0,Ontario,ON,Toronto,7528 Lakeview Dr,Apt 997,Block 2,Near Tech Hub,CA,Toronto
50005,L7P 2P5,Ontario,ON2,Toronto,3433 Church St,Floor 719,,,CA,Toronto
50006,17331,New York,NY,New York,3753 Main St,Floor 411,,Near Harbor,US,New York
50007,675159,Tamil Nadu,TN,Chennai,4305 High St,,Building N,,IN,Chennai
50008,30033,Oregon,OR,12345,2622 Church St,Unit 611,Building C,Near Harbor,US,Multnomah
50009,48469,Oregon,OR,Portland,7124 Pine Rd,Unit 4,Building X,,US,Multnomah
50010,926450,Tamil Nadu,TN,Chennai,8690 Main St?,,,Near Central Park,IN,Chennai
50011,192583,Tamil Nadu,TN,Coimbatore,1404 High St,Unit 836,,Near City Mall,IN,Coimbatore
50012,901953,Tamil Nadu,TN,Chennai,3296 High St,Floor 409,Building V,Near Railway Station,IN,Chennai
50013,351293,Tamil Nadu,TN,Chennai,9642 Maple St,Apt 73,,,IN,Chennai
50014,JF7W@9Q7,England,ENG,Manchester,3982 2nd St,Unit 195,Block 2,Near Railway Station,GB,Greater Manchester
50015,24322,New York,NY,New York,4074 Maple St,Suite 550,Building O,Near City Mall,US,New York
50016,22224,Washington,WA,Seattle,3873 Pine Rd,Unit 498,Building P,,US,King
50017,34890,California,CA,San Francisco,4862 Maple St,Apt 594,,,US,San Francisco
50018,18981,California,CA,San Jose,9750 Oak Ave,Suite 414,,,US,Santa Clara
50019,44814,Texas,TX,Dallas,6485 Pine Rd,Floor 469,,,US,Dallas
50020,47353,Florida,FL,Miämi,2585 2nd St,,Block 5,,US,Miami-Dade
50021,272999,Tamil Nadu,TN,Chennai,4463 Cedar Ln,,Building G,Near City Mall,IN,Chennai
50022,15778,Illinois,IL,Chicago,59 Sunset Blvd,Suite 653,Block 3,Near Railway Station,US,Cook
50023,G0M 5B5,British Columbia,BC,Vancouver,3442 Church St,Suite 683,Block 6,,CA,Metro Vancouver
50024,K4H 1R0,British Columbia,BC,Vancouver,7712 Maple St,Suite 837,Building O,,CA,Metro Vancouver
50025,94080,Florida,FL,Miami,8347 Park Ave!,,,,US,Miami-Dade
50026,X1R 9J4,British Columbia,BC,Vancouver,728 High St,Unit 2,Block 9,Near City Mall,CA,Metro Vancouver
50027,97410,Massachusetts,MA,Boston,6692 Sunset Blvd,Unit 714,,Near City Mall,US,Suffolk
